code,report_date,ann_date,avail_date,lag_days
001220,2025-06-30,2026-01-15,2026-01-15,199
301531,2025-06-30,2025-12-30,2025-12-30,183
301680,2025-06-30,2026-02-06,2026-02-06,221
301682,2025-06-30,2026-03-05,2026-03-05,248
601112,2025-06-30,2026-01-09,2026-01-09,193
603284,2025-06-30,2026-01-22,2026-01-22,206
688712,2025-06-30,2026-01-16,2026-01-16,200
688781,2025-06-30,2026-03-06,2026-03-06,249
688785,2025-06-30,2026-01-08,2026-01-08,192
688816,2025-06-30,2026-01-23,2026-01-23,207
688818,2025-06-30,2026-01-22,2026-01-22,206
830978,2025-06-30,2026-01-01,2026-01-01,185
832684,2025-06-30,2025-12-31,2025-12-31,184
835092,2025-06-30,2026-04-28,2026-04-28,302
871633,2025-06-30,2026-01-16,2026-01-16,200
872814,2025-06-30,2026-01-01,2026-01-01,185
873464,2025-06-30,2026-01-01,2026-01-01,185
873772,2025-06-30,2026-03-04,2026-03-04,247
873855,2025-06-30,2026-01-28,2026-01-28,212
873974,2025-06-30,2025-12-31,2025-12-31,184
873976,2025-06-30,2026-04-25,2026-04-25,299
874075,2025-06-30,2026-02-28,2026-02-28,243
874158,2025-06-30,2025-12-31,2025-12-31,184
874159,2025-06-30,2026-01-01,2026-01-01,185
874181,2025-06-30,2026-01-01,2026-01-01,185
874191,2025-06-30,2026-03-19,2026-03-19,262
874191,2025-09-30,2026-04-01,2026-04-01,183
874217,2025-06-30,2026-01-01,2026-01-01,185
874225,2025-06-30,2026-01-01,2026-01-01,185
874235,2025-06-30,2025-12-31,2025-12-31,184
874249,2025-06-30,2026-01-01,2026-01-01,185
874322,2025-06-30,2025-12-31,2025-12-31,184
874332,2025-06-30,2026-01-01,2026-01-01,185
874335,2025-06-30,2026-01-01,2026-01-01,185
874385,2025-06-30,2026-01-01,2026-01-01,185
874411,2025-06-30,2026-01-01,2026-01-01,185
874421,2025-06-30,2025-12-31,2025-12-31,184
874475,2025-06-30,2026-01-17,2026-01-17,201
874494,2025-06-30,2026-01-01,2026-01-01,185
874498,2025-06-30,2025-12-31,2025-12-31,184
874515,2025-06-30,2026-01-01,2026-01-01,185
874520,2025-06-30,2026-02-05,2026-02-05,220
874526,2025-06-30,2026-01-01,2026-01-01,185
874539,2025-06-30,2026-04-10,2026-04-10,284
874567,2025-06-30,2026-01-01,2026-01-01,185
874571,2025-06-30,2026-01-01,2026-01-01,185
874573,2025-06-30,2026-01-10,2026-01-10,194
874586,2025-06-30,2026-01-01,2026-01-01,185
874589,2025-06-30,2026-01-01,2026-01-01,185
874628,2025-06-30,2026-03-11,2026-03-11,254
874630,2025-06-30,2025-12-31,2025-12-31,184
874637,2025-06-30,2026-01-15,2026-01-15,199
874649,2025-06-30,2026-01-16,2026-01-16,200
874654,2025-06-30,2026-01-01,2026-01-01,185
874669,2025-06-30,2026-02-28,2026-02-28,243
874671,2025-06-30,2025-12-31,2025-12-31,184
874679,2025-06-30,2026-03-07,2026-03-07,250
874684,2025-06-30,2025-12-31,2025-12-31,184
874727,2025-06-30,2025-12-31,2025-12-31,184
874769,2025-06-30,2025-12-31,2025-12-31,184
874785,2025-06-30,2025-12-31,2025-12-31,184
874790,2025-06-30,2026-01-01,2026-01-01,185
874811,2025-06-30,2026-01-01,2026-01-01,185
874821,2025-06-30,2025-12-31,2025-12-31,184
874827,2025-06-30,2026-01-01,2026-01-01,185
874865,2025-06-30,2025-12-31,2025-12-31,184
874885,2025-06-30,2025-12-31,2025-12-31,184
920036,2025-06-30,2026-02-25,2026-02-25,240
920050,2025-06-30,2026-01-09,2026-01-09,193
920055,2025-06-30,2026-03-20,2026-03-20,263
920069,2025-06-30,2026-03-17,2026-03-17,260
920076,2025-06-30,2026-01-13,2026-01-13,197
920078,2025-06-30,2026-03-06,2026-03-06,249
920086,2025-06-30,2026-01-01,2026-01-01,185
920096,2025-06-30,2026-02-06,2026-02-06,221
920119,2025-06-30,2026-01-20,2026-01-20,204
920125,2025-06-30,2026-01-24,2026-01-24,208
920156,2025-06-30,2026-01-24,2026-01-24,208
920159,2025-06-30,2026-01-16,2026-01-16,200
920161,2025-06-30,2026-02-14,2026-02-14,229
920166,2025-06-30,2026-02-03,2026-02-03,218
920177,2025-06-30,2026-01-22,2026-01-22,206
920178,2025-06-30,2026-02-27,2026-02-27,242
920180,2025-06-30,2026-01-30,2026-01-30,214
920183,2025-06-30,2026-02-13,2026-02-13,228
920186,2025-06-30,2026-01-10,2026-01-10,194
920187,2025-06-30,2026-02-10,2026-02-10,225
920188,2025-06-30,2026-03-13,2026-03-13,256
920191,2025-06-30,2026-01-08,2026-01-08,192
920200,2025-06-30,2026-02-07,2026-02-07,222
920206,2025-06-30,2026-03-04,2026-03-04,247
920220,2025-06-30,2026-03-04,2026-03-04,247
